"Scenario","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PDoesntFile","P Files","DDoesntAnswer","D Answers","Settles1","DoesntSettle1","PAbandons1","PDoesntAbandon1","DDefaults1","DDoesntDefault1","POrDQuits1","Settles2","DoesntSettle2","PAbandons2","PDoesntAbandon2","DDefaults2","DDoesntDefault2","POrDQuits2","P Loses","P Wins"
"CostsMult0","PLiabilitySignal2",0.2292,0,0.2292,0.378272,1,1,0.418848,0.137871,0.722032,0.246575,0.0746871,0.0535266,0,,,,,0,0,0.574171,0.353403,0.724638,0.304348,0.0838844,0.0700695,0,,,,,0,0,1,0.308028,1030800,969197,1030800,969197,0,14048.9,17015.7,0,0,0,,0,0,0,0.337696,0,-0.404014,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.691972,0.308028
"CostsMult0","PLiabilitySignal3",0.192,0,0.192,0.496007,1,1,0,0.177083,0.833333,0.275132,0.0089524,0.0541015,0,,,,,0,0,0.323958,0.452083,,,,,0,,,,,0,0,1,0.483333,1048330,951667,1048330,951667,0,15625,19166.7,0,0,0,,0,0,0,0.51875,0,0.04375,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.516667,0.483333
"CostsMult0","PLiabilitySignal4",0.2452,0,0.2452,0.630914,1,1,0.000815661,0.307504,0.833333,0.311508,0.00907911,0.0669526,0,,,,,0,0,0.23491,0.641925,,,,,0,,,,,0,0,1,0.685155,1068520,931485,1068520,931485,0,15579.1,13947.8,0,0,0,,0,0,0,0.668842,0,0.32708,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.314845,0.685155
"CostsMult0","PLiabilitySignal5",0.1658,0,0.1658,0.726578,1,1,0.00120627,0.35585,,,,,0,,,,,0,0,0,0.708082,,,,,0,,,,,0,0,1,0.840772,1084080,915923,1084080,915923,0,11821.5,10132.7,0,0,0,,0,0,0,0.823884,0,1.08926,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.159228,0.840772
"CostsMult0","DLiabilitySignal1",0.167,0,0.167,0.255888,1,1,0.316168,0.00718563,0.7,0.166667,0.104947,0.0499465,0,,,,,0,0,0.554491,0.00239521,0.833333,0.166667,0.0839264,0.0274022,0,,,,,0,0,1,0.160479,1016050,983952,1016050,983952,0,10778.4,8862.28,0,0,0,,0,0,0,0.141317,0,1.03952,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.839521,0.160479
"CostsMult0","DLiabilitySignal2",0.2306,0,0.2306,0.375831,1,1,0.266262,0,0.706197,0.166667,0.076469,0.00807488,0,,,,,0,0,0.520382,0.255854,,,,,0,,,,,0,0,1,0.313964,1031400,968604,1031400,968604,0,15438,16652.2,0,0,0,,0,0,0,0.326106,0,0.360798,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.686036,0.313964
"CostsMult0","DLiabilitySignal3",0.1984,0,0.1984,0.508401,1,1,0.149194,0.112903,0.703604,0.166667,0.0746161,0.0124788,0,,,,,0,0,0.386089,0.440524,0.5,0.166667,0.135672,0.0258723,0,,,,,0,0,1,0.509073,1050910,949093,1050910,949093,0,16431.5,15322.6,0,0,0,,0,0,0,0.497984,0,0.0877016,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.490927,0.509073
"CostsMult0","DLiabilitySignal4",0.2334,0,0.2334,0.619966,1,1,0.083976,0.500428,0.734694,0.287755,0.0598277,0.0732104,0,,,,,0,0,0.245073,0.738646,0.653333,0.26,0.0876502,0.0797964,0.000856898,,,,,0,0,0.999143,0.669811,1066950,933048,1066950,933048,0,15538.4,15167.1,0,0,0.0008569,33333.3,0,0,0,0.66581,0,-0.368466,0,1,0,1,0,1,0,1,0,1,0,0.000856898,0.999143,0,0.999143,0,0.999143,0,0.329906,0.669237
"CostsMult0","DLiabilitySignal5",0.1706,0,0.1706,0.729777,1,1,0.049238,0.42204,0.786517,0.383895,0.0338949,0.10105,0,,,,,0,0,0.205158,0.966002,0.645833,0.458333,0.0912799,0.0454385,0.00468933,,,,,0,0,0.995311,0.824499,1082300,917702,1082300,917702,0,9261.43,11254.4,0,0,0.00468933,50000,0,0,0,0.842907,0,-1.09144,0,1,0,1,0,1,0,1,0,1,0,0.00468933,0.995311,0,0.995311,0,0.995311,0,0.174678,0.820633
"CostsMult0","MutOptLiability5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
