"Filter","All","Trial","PWinsAtTrial","DWinsAtTrial","TrialDamages","PWelfare","DWelfare","LiabStr 1","LiabStrPct 1","LiabStr 2","LiabStrPct 2","LiabStr 3","LiabStrPct 3","LiabStr 4","LiabStrPct 4","LiabStr 5","LiabStrPct 5","DamStr 1","DamStr 2","DamStr 3","DamStr 4","DamStr 5","PLiabilitySignal 1","PLiabilitySignal 2","PLiabilitySignal 3","PLiabilitySignal 4","PLiabilitySignal 5","DLiabilitySignal 1","DLiabilitySignal 2","DLiabilitySignal 3","DLiabilitySignal 4","DLiabilitySignal 5"
"PSignal Liab 5 Dam 1",0.0387,1,0.96281,0.0371901,62061,1074120,825879,0,0,0,0,0.00929752,0.0012859,0.119835,0.0286774,0.870868,0.165197,0.792355,0.205579,0.00206612,0,0,0,0,0,0,1,0,0.00619835,0.0340909,0.231405,0.728306
"PSignal Liab 5 Dam 2",0.041,1,0.966862,0.0331384,77290.4,1104580,795420,0,0,0,0,0.00974659,0.00142878,0.136452,0.0346106,0.853801,0.171664,0.205653,0.599415,0.187135,0.00779727,0,0,0,0,0,1,0,0.00389864,0.0350877,0.239766,0.721248
"PSignal Liab 5 Dam 3",0.0394,1,0.958376,0.0416244,95380.7,1140760,759239,0,0,0,0,0.00812183,0.00114302,0.169543,0.0412855,0.822335,0.15873,0.00406091,0.209137,0.614213,0.165482,0.0071066,0,0,0,0,1,0,0.00203046,0.0477157,0.252792,0.697462
"PSignal Liab 5 Dam 4",0.0369,1,0.967462,0.032538,115483,1180960,719036,0,0,0,0,0.0021692,0.000285755,0.186551,0.0425216,0.81128,0.14658,0,0.0021692,0.222343,0.587852,0.187636,0,0,0,0,1,0,0.0032538,0.0401302,0.280911,0.675705
"PSignal Liab 5 Dam 5",0.0382,1,0.94555,0.0544503,129188,1208380,691624,0,0,0,0,0.0125654,0.00171453,0.181152,0.0427689,0.806283,0.150892,0,0,0.00418848,0.174869,0.820942,0,0,0,0,1,0,0.00314136,0.0418848,0.27644,0.678534
"DSignal Liab 1 Dam 1",0.0336,1,0.0345238,0.965476,2202.38,954404,945596,0.839286,0.145661,0.153571,0.0321455,0.00714286,0.000857265,0,0,0,0,0.805952,0.189286,0.0047619,0,0,0.67381,0.294048,0.0321429,0,0,1,0,0,0,0
"DSignal Liab 1 Dam 2",0.0398,1,0.0482412,0.951759,3819.1,957637,942363,0.79196,0.16281,0.19598,0.0485921,0.0120603,0.00171453,0,0,0,0,0.194975,0.59397,0.20402,0.00703518,0,0.641206,0.299497,0.0552764,0.0040201,0,1,0,0,0,0
"DSignal Liab 1 Dam 3",0.0372,1,0.0343716,0.965628,3651.99,957303,942697,0.822771,0.158264,0.171858,0.0398704,0.00537057,0.000714388,0,0,0,0,0.0075188,0.210526,0.567132,0.210526,0.00429646,0.682062,0.27927,0.0365199,0.00214823,0,1,0,0,0,0
"DSignal Liab 1 Dam 4",0.0377,1,0.0403397,0.95966,4989.38,959978,940022,0.839703,0.16343,0.149682,0.0351358,0.0106157,0.00142878,0,0,0,0,0,0.00318471,0.197452,0.612527,0.186837,0.754777,0.205945,0.0382166,0.00106157,0,1,0,0,0,0
"DSignal Liab 1 Dam 5",0.0372,1,0.0537634,0.946237,7258.06,964515,935485,0.829032,0.159298,0.15914,0.0368801,0.011828,0.00157165,0,0,0,0,0,0,0.00537634,0.208602,0.786022,0.709677,0.232258,0.0526882,0.00537634,0,1,0,0,0,0
"DSignal Liab 2 Dam 1",0.0365,1,0.211623,0.788377,13761,977521,922479,0.20943,0.0394628,0.502193,0.114129,0.286184,0.037291,0.00219298,0.000494438,0,0,0.79057,0.202851,0.00657895,0,0,0.243421,0.428728,0.259868,0.0614035,0.00657895,0,1,0,0,0
"DSignal Liab 2 Dam 2",0.0376,1,0.231668,0.768332,18597.2,987194,912806,0.193411,0.0376033,0.489904,0.114877,0.310308,0.0417202,0.0063762,0.00148331,0,0,0.215728,0.582359,0.196599,0.0053135,0,0.219979,0.418704,0.285866,0.0712009,0.0042508,0,1,0,0,0
"DSignal Liab 2 Dam 3",0.0382,1,0.200837,0.799163,20031.4,990062,909938,0.205021,0.0404959,0.520921,0.124097,0.271967,0.0371482,0.00209205,0.000494438,0,0,0.00627615,0.179916,0.618201,0.187238,0.0083682,0.278243,0.394351,0.243724,0.08159,0.00209205,0,1,0,0,0
"DSignal Liab 2 Dam 4",0.0389,1,0.211716,0.788284,25154.2,1000310,899693,0.191161,0.0384298,0.514902,0.124844,0.290853,0.0404343,0.0020555,0.000494438,0.00102775,0.000195963,0.00102775,0.00102775,0.204522,0.615622,0.177801,0.238438,0.425488,0.238438,0.0945529,0.00308325,0,1,0,0,0
"DSignal Liab 2 Dam 5",0.0402,1,0.224104,0.775896,30129.5,1010260,889742,0.23506,0.0487603,0.463147,0.115873,0.293825,0.0421489,0.00796813,0.00197775,0,0,0,0,0.00398406,0.200199,0.795817,0.268924,0.37251,0.26992,0.0856574,0.00298805,0,1,0,0,0
"DSignal Liab 3 Dam 1",0.0444,1,0.504505,0.495495,31554.1,1013110,886893,0.00630631,0.00144628,0.13964,0.0386245,0.723423,0.114731,0.128829,0.0353523,0.0018018,0.000391926,0.774775,0.221622,0.0036036,0,0,0.0243243,0.237838,0.494595,0.217117,0.0261261,0,0,1,0,0
"DSignal Liab 3 Dam 2",0.0462,1,0.488735,0.511265,37261.7,1024520,875478,0.0034662,0.000826446,0.17591,0.0505856,0.701906,0.115731,0.109185,0.0311496,0.00953206,0.00215559,0.201906,0.566724,0.225303,0.00606586,0,0.0441941,0.268631,0.481802,0.170711,0.034662,0,0,1,0,0
"DSignal Liab 3 Dam 3",0.0466,1,0.524014,0.475986,51629.5,1053260,846742,0.0025729,0.000619835,0.129503,0.0376277,0.716123,0.119303,0.14837,0.0427689,0.00343053,0.000783853,0.00686106,0.192967,0.591767,0.202401,0.00600343,0.0343053,0.216981,0.473413,0.237564,0.0377358,0,0,1,0,0
"DSignal Liab 3 Dam 4",0.0479,1,0.479532,0.520468,56599.8,1063200,836801,0.00668338,0.00165289,0.152882,0.0456018,0.706767,0.120874,0.126984,0.0375773,0.00668338,0.00156771,0,0.00501253,0.196324,0.616541,0.182122,0.0392648,0.185464,0.479532,0.261487,0.0342523,0,0,1,0,0
