"Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PDoesntFile","P Files","DDoesntAnswer","D Answers","Settles1","DoesntSettle1","PAbandons1","PDoesntAbandon1","DDefaults1","DDoesntDefault1","POrDQuits1","Settles2","DoesntSettle2","PAbandons2","PDoesntAbandon2","DDefaults2","DDoesntDefault2","POrDQuits2","P Loses","P Wins"
"PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Truly Liable",0.4953,0,0.4953,0.652231,0.997981,0.709267,0.158288,0.695538,0.282653,0.247109,0.0650326,0.029424,0.14254,,,,,0.000201898,0.112255,0.0940844,0.315768,0.759259,0.462963,0.102279,0.097532,0.0419948,,,,,0.0117101,0.13507,0.265496,0.635741,1049720,902481,1049720,902481,47800.3,13799,50281.5,0,0,0.184535,24817.7,0.011912,0.247325,0,1,0,0.0183727,0.00201898,0.997981,0.288714,0.709267,0.14254,0.566727,0.000201898,0.566525,0.112255,0.45427,0.112457,0.0419948,0.412275,0.0117101,0.400565,0.13507,0.265496,0.14678,0.0967091,0.168787
"Truly Not Liable",0.5047,0,0.5047,0.34357,0.990886,0.931048,0.535368,0.905687,0.206589,0.190702,0.0532749,0.0219315,0.507826,,,,,0.00416089,0.0422033,0.145235,0.160095,0.166667,0.333333,0.140594,0.166078,0.0380424,,,,,0.0390331,0.046166,0.253616,0.33125,1007570,940916,1007570,940916,51518.7,59084.1,0,0,0,0.545869,19056.3,0.043194,0.0883693,0,0,0,-0.0134734,0.00911433,0.990886,0.0598375,0.931048,0.507826,0.423222,0.00416089,0.419061,0.0422033,0.376858,0.0463642,0.0380424,0.338815,0.0390331,0.299782,0.046166,0.253616,0.0851991,0.169606,0.0840103
"AllCount",10000,0,10000,0.49645,9944,8212,3486,8016,0.226088,0.205162,0.0562889,0.0238522,3269,,,,,22,769,1199,2372,0.651515,0.439394,0.109246,0.109995,400,,,,,255,902,2595,1260,1028440,921879,1028440,921879,49677,36654.4,24904.4,0,0,3669,20491.5,277,1671,0,4953,0,0.0023,56,9944,1732,8212,3269,4943,22,4921,769,4152,791,400,3752,255,3497,902,2595,1157,1335,1260
"Liability Strength1",0.2071,0,0.2071,0.166667,0.985514,0.983583,0.800097,0.955094,0.182796,0.172144,0.0503583,0.0193118,0.764365,,,,,0.00627716,0.00144858,0.133269,0.0260744,0.166667,0.333333,0.140594,0.166078,0.0125543,,,,,0.0560116,0.000482859,0.142443,0.0474576,992058,963203,992058,963203,44739.3,35795.5,2941.82,0,0,0.776919,17215.7,0.0622887,0.00193143,0,0.0265572,0,-0.0154515,0.0144858,0.985514,0.00193143,0.983583,0.764365,0.219218,0.00627716,0.212941,0.00144858,0.211492,0.00772574,0.0125543,0.198938,0.0560116,0.142926,0.000482859,0.142443,0.0564944,0.135683,0.00676
"Liability Strength2",0.1558,0,0.1558,0.333333,0.990372,0.970475,0.485237,0.941592,0.234277,0.212854,0.050488,0.0237863,0.45122,,,,,0.00256739,0.029525,0.213094,0.186136,0.166667,0.166667,0.142932,0.024089,0.0699615,,,,,0.0282413,0.0134788,0.375481,0.194872,994472,945281,994472,945281,60247.1,41199.2,25393.1,0,0,0.521181,21274.6,0.0308087,0.0430039,0,0.238768,0,0.0012837,0.00962773,0.990372,0.0198973,0.970475,0.45122,0.519255,0.00256739,0.516688,0.029525,0.487163,0.0320924,0.0699615,0.417202,0.0282413,0.38896,0.0134788,0.375481,0.0417202,0.302311,0.0731707
"Liability Strength3",0.2828,0,0.2828,0.5,0.996464,0.900283,0.332744,0.883663,0.23327,0.213635,0.0703552,0.0274703,0.312588,,,,,0.00176803,0.084512,0.134724,0.25389,0.833333,0.5,0.0377861,0.117761,0.0473833,,,,,0.0311174,0.108204,0.31471,0.498876,1023910,920362,1023910,920362,55728.4,46676.7,38775,0,0,0.359972,21291.7,0.0328854,0.192716,0,0.499293,0,0.00671853,0.00353607,0.996464,0.096181,0.900283,0.312588,0.587694,0.00176803,0.585926,0.084512,0.501414,0.0862801,0.0473833,0.454031,0.0311174,0.422914,0.108204,0.31471,0.139321,0.157709,0.157001
"Liability Strength4",0.1599,0,0.1599,0.666667,0.999375,0.70419,0.0669168,0.686054,0.397081,0.344086,0.0545475,0.0350988,0.0556598,,,,,0,0.11132,0.103189,0.42464,0.833333,0.5,0.269482,0.117761,0.0669168,,,,,0.00437774,0.105066,0.360851,0.790295,1055730,890574,1055730,890574,53699.2,40067.8,33461.5,0,0,0.122577,35714.3,0.00437774,0.216385,0,0.764228,0,0.0631645,0.000625391,0.999375,0.295184,0.70419,0.0556598,0.64853,0,0.64853,0.11132,0.537211,0.11132,0.0669168,0.470294,0.00437774,0.465916,0.105066,0.360851,0.109443,0.0756723,0.285178
"Liability Strength5",0.1944,0,0.1944,0.833333,1,0.509774,0.0128601,0.501543,0.58642,0.364198,0.0584496,0.0467446,0.00514403,,,,,0,0.155864,0.0231481,0.324588,0.833333,0.5,0.0865057,0.100083,0.0123457,,,,,0,0.208848,0.127572,0.935484,1078590,887057,1078590,887057,34354.4,16539.8,20693.6,0,0,0.0174897,45098,0,0.364712,0,0.973251,0,-0.034465,0,1,0.490226,0.509774,0.00514403,0.50463,0,0.50463,0.155864,0.348765,0.155864,0.0123457,0.33642,0,0.33642,0.208848,0.127572,0.208848,0.00823045,0.119342
"PLiabilitySignal1",0.1721,0,0.1721,0.258861,0.969204,0.947705,0.945962,0.925044,0.169484,0.169484,0.0259335,0.0220092,0.919814,,,,,0.00987798,0,0.0180128,0.00522952,0.166667,0.166667,0.138255,0.166078,0.00348635,,,,,0.0139454,0,0.000581,0,1000750,965567,1000750,965567,33683.9,30106,11213.9,0,0,0.9233,16839.7,0.0238234,0,0,0.117374,0,-1.07902,0.030796,0.969204,0.0214991,0.947705,0.919814,0.0278908,0.00987798,0.0180128,0,0.0180128,0.00987798,0.00348635,0.0145264,0.0139454,0.000581058,0,0.000581058,0.0139454,0.00058106,0
"PLiabilitySignal2",0.2316,0,0.2316,0.374136,0.999136,0.940846,0.770725,0.912349,0.204182,0.189912,0.0851144,0.0235696,0.727979,,,,,0.000863558,0.015544,0.193869,0.0561313,0.388889,0.5,0.197372,0.0731796,0.0496546,,,,,0.0988774,0.000431779,0.047496,0.2,1003400,957763,1003400,957763,38834.2,26209.7,29909,0,0,0.777634,18947.8,0.0997409,0.0159758,0,0.338515,0,-0.348446,0.000863558,0.999136,0.0582902,0.940846,0.727979,0.212867,0.000863558,0.212003,0.015544,0.196459,0.0164076,0.0496546,0.146805,0.0988774,0.0479275,0.000431779,0.0474957,0.0993092,0.0379965,0.0094991
"PLiabilitySignal3",0.1971,0,0.1971,0.499577,1,0.8138,0.0177575,0.790462,0.541401,0.461253,0.037116,0.0283291,0,,,,,0.00152207,0.0806697,0.333841,0.330797,0.833333,0.5,0.269482,0.117761,0.136986,,,,,0.00101471,0.0553019,0.538305,0.354383,1023150,908612,1023150,908612,68234.4,46005.4,30876.9,0,0,0.136986,50432.1,0.00253678,0.135972,0,0.527651,0,0.0177575,0,1,0.1862,0.8138,0,0.8138,0.00152207,0.812278,0.0806697,0.731608,0.0821918,0.136986,0.594622,0.00101471,0.593607,0.0553019,0.538305,0.0563166,0.347539,0.190766
"PLiabilitySignal4",0.2382,0,0.2382,0.627344,1,0.725021,0.00965575,0.714945,0.791667,0.270833,0.0901322,0.0573982,0,,,,,0,0.13602,0.0146935,0.393787,0.833333,0.416667,0.0377861,0.117761,0.00209908,,,,,0,0.206969,0.379933,0.522652,1052450,891595,1052450,891595,55957.2,45600.3,24131.3,0,0,0.00209908,70000,0,0.342989,0,0.662469,0,0.36272,0,1,0.274979,0.725021,0,0.725021,0,0.725021,0.13602,0.589001,0.13602,0.00209908,0.586902,0,0.586902,0.206969,0.379933,0.206969,0.18136,0.198573
"PLiabilitySignal5",0.161,0,0.161,0.728882,0.999379,0.665217,0.00931677,0.652174,0.833333,0.326087,0.0513381,0.0668349,0,,,,,0,0.15528,0.0161491,0.399379,0.833333,0.5,0.0253525,0.117761,0.00248447,,,,,0,0.185714,0.321739,0.750965,1065030,884607,1065030,884607,50360.2,33995.9,26171.8,0,0,0.00248447,83333.3,0,0.340994,0,0.837888,0,1.11056,0.000621118,0.999379,0.334161,0.665217,0,0.665217,0,0.665217,0.15528,0.509938,0.15528,0.00248447,0.507453,0,0.507453,0.185714,0.321739,0.185714,0.0801242,0.241615
"DLiabilitySignal1",0.1713,0,0.1713,0.260557,0.99066,0.990076,0.649737,0.962055,0.186391,0.166972,0.0577537,0.0163785,0.613543,,,,,0.0040864,0,0.17338,0.00467017,,,,,0,,,,,0.0595447,0,0.312901,0.23694,989760,954350,989760,954350,55890.3,37335.1,17120.1,0,0,0.613543,16682.5,0.0636311,0,0,0.157034,0,1.06888,0.00934034,0.99066,0.000583771,0.990076,0.613543,0.376532,0.0040864,0.372446,0,0.372446,0.0040864,0,0.372446,0.0595447,0.312901,0,0.312901,0.0595447,0.238762,0.0741389
"DLiabilitySignal2",0.236,0,0.236,0.375777,0.988983,0.988983,0.55,0.955932,0.183123,0.167457,0.0576002,0.0177338,0.520339,,,,,0.00338983,0.000423729,0.180508,0.00805085,0.166667,0.166667,0.142932,0.024089,0.000423729,,,,,0.0614407,0,0.402966,0.450053,996000,942264,996000,942264,61735.2,38353.8,31882.1,0,0,0.520763,16687,0.0648305,0.000423729,0,0.327966,0,0.355932,0.0110169,0.988983,0,0.988983,0.520339,0.468644,0.00338983,0.465254,0.000423729,0.464831,0.00381356,0.000423729,0.464407,0.0614407,0.402966,0,0.402966,0.0614407,0.22161,0.181356
"DLiabilitySignal3",0.1953,0,0.1953,0.502048,0.995392,0.995392,0.334869,0.971326,0.29258,0.266996,0.050377,0.0262793,0.308756,,,,,0.0015361,0,0.165899,0.652842,0.166667,0.333333,0.140594,0.166078,0.136201,,,,,0.00409626,0,0.544803,0.639098,1010610,917035,1010610,917035,72355.4,44752.5,39812.3,0,0,0.444956,26898.7,0.00563236,0,0,0.496672,0,0.0404506,0.00460829,0.995392,0,0.995392,0.308756,0.686636,0.0015361,0.6851,0,0.6851,0.0015361,0.136201,0.548899,0.00409626,0.544803,0,0.544803,0.00409626,0.196621,0.348182
"DLiabilitySignal4",0.2341,0,0.2341,0.621387,0.997864,0.953012,0.178983,0.943187,0.292874,0.262681,0.0602108,0.0477581,0.16446,,,,,0.00170867,0.328065,0.0645023,0.454934,0.833333,0.5,0.0971979,0.106712,0.0568133,,,,,0,0.384024,0.017941,0.571429,1061540,896876,1061540,896876,41582.7,41925.5,22508.5,0,0,0.221273,26383.5,0.00170867,0.712089,0,0.671081,0,-0.39812,0.00213584,0.997864,0.0448526,0.953012,0.16446,0.788552,0.00170867,0.786843,0.328065,0.458778,0.329774,0.0568133,0.401965,0,0.401965,0.384024,0.0179411,0.384024,0.00768902,0.010252
"DLiabilitySignal5",0.1633,0,0.1633,0.732496,1,0.00428659,0.00122474,0.00428659,0.277778,0.611111,0.0463251,0.184679,0.00122474,,,,,0,0,0.00061237,0.00306185,,,,,0,,,,,0,0.00183711,0.001225,0.5,1089790,899994,1089790,899994,10214.3,16243.1,8591.55,0,0,0.00122474,50000,0,0.00183711,0,0.838334,0,-1.0992,0,1,0.995713,0.00428659,0.00122474,0.00306185,0,0.00306185,0,0.00306185,0,0,0.00306185,0,0.00306185,0.00183711,0.00122474,0.00183711,0.00061237,0.0006124
"MutOptLiability5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MutOptLiability4",0.0022,0,0.0022,0.44697,1,1,0,1,,,,,0,,,,,0,0,0,0,,,,,0,,,,,0,0,1,0.454545,995455,904545,995455,904545,100000,56818.2,47727.3,0,0,0,,0,0,0,0.5,0,4,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.545455,0.454545
"MutOptLiability3",0.0284,0,0.0284,0.5,1,1,0.00704225,0.975352,0.833333,0.166667,0.0794719,0.0169428,0,,,,,0,0,0.028169,0.0140845,,,,,0,,,,,0,0,1,0.485915,998592,901408,998592,901408,100000,57922.5,43662,0,0,0,,0,0,0,0.5,0,3,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.514085,0.485915
"MutOptLiability2",0.0988,0,0.0988,0.505061,0.998988,0.997976,0.0242915,0.964575,0.821839,0.189655,0.0932793,0.0233616,0,,,,,0,0,0.178138,0.338057,,,,,0,,,,,0,0,0.997976,0.51927,1002010,898178,1002010,898178,99807.7,58400.8,41295.5,0,0,0,,0,0,0,0.513158,0,2,0.00101215,0.998988,0.00101215,0.997976,0,0.997976,0,0.997976,0,0.997976,0,0,0.997976,0,0.997976,0,0.997976,0,0.479757,0.518219
"MutOptLiability1",0.2116,0,0.2116,0.487161,1,0.98913,0.268431,0.964556,0.212256,0.174364,0.0876355,0.018536,0.244802,,,,,0.00141777,0.11862,0.172495,0.349244,0.833333,0.5,0.0253525,0.117761,0.00236295,,,,,0.0434783,0.140832,0.437618,0.448164,1017870,916158,1017870,916158,65973.5,41822.6,28471.6,0,0,0.247164,17256.2,0.044896,0.259452,0,0.48913,0,1,0,1,0.0108696,0.98913,0.244802,0.744329,0.00141777,0.742911,0.11862,0.624291,0.120038,0.00236295,0.621928,0.0434783,0.57845,0.140832,0.437618,0.18431,0.241493,0.196125
"MutOptLiability0",0.3231,0,0.3231,0.503095,0.994429,0.821727,0.380068,0.803466,0.237566,0.214132,0.0555882,0.0188496,0.35407,,,,,0.00247601,0.100279,0.126277,0.298669,0.7,0.366667,0.0588153,0.0990266,0.0591148,,,,,0.0458063,0.152275,0.107707,0.511494,1035390,923260,1035390,923260,41346.3,34229.9,21926.9,0,0,0.413185,21529.3,0.0482823,0.252553,0,0.50294,0,0,0.00557103,0.994429,0.172702,0.821727,0.35407,0.467657,0.00247601,0.465181,0.100279,0.364903,0.102755,0.0591148,0.305788,0.0458063,0.259981,0.152275,0.107707,0.198081,0.0526153,0.0550913
"MutOptLiability-1",0.2032,0,0.2032,0.489993,0.988189,0.680118,0.468996,0.665846,0.225283,0.216406,0.0448789,0.0220236,0.449311,,,,,0.00246063,0.0777559,0.0925197,0.137303,0.5,0.5,0.206207,0.141919,0.078248,,,,,0.00492126,0.054626,0.012795,0.230769,1039350,930862,1039350,930862,29783.5,28733.6,17279,0,0,0.527559,21696.2,0.00738189,0.132382,0,0.478346,0,-1,0.011811,0.988189,0.308071,0.680118,0.449311,0.230807,0.00246063,0.228346,0.0777559,0.150591,0.0802165,0.078248,0.0723425,0.00492126,0.0674213,0.054626,0.0127953,0.0595472,0.00984252,0.0029528
"MutOptLiability-2",0.1031,0,0.1031,0.50097,0.992241,0.637245,0.560621,0.626576,0.194535,0.197781,0.0539292,0.0374864,0.549952,,,,,0.00193986,0.0349176,0.0504365,0.0475267,0.5,0.5,0.222253,0.0977249,0.0417071,,,,,0.00484966,0.000969932,0.00291,0.333333,1035520,937726,1035520,937726,26755.6,23006.8,24089.9,0,0,0.591659,19412.6,0.00678952,0.0358875,0,0.521823,0,-2,0.00775946,0.992241,0.354995,0.637245,0.549952,0.0872939,0.00193986,0.085354,0.0349176,0.0504365,0.0368574,0.0417071,0.00872939,0.00484966,0.00387973,0.000969932,0.0029098,0.00581959,0.00193986,0.0009699
"MutOptLiability-3",0.0269,0,0.0269,0.488848,0.981413,0.490706,0.490706,0.472119,0.177003,0.182171,0.0262061,0.0508276,0.468401,,,,,0.0148699,0,0.00743494,0.00743494,,,,,0.00743494,,,,,0,0,0,,1043950,933860,1043950,933860,22193.3,31019.2,13336.4,0,0,0.475836,17708.3,0.0148699,0,0,0.416357,0,-3,0.0185874,0.981413,0.490706,0.490706,0.468401,0.0223048,0.0148699,0.00743494,0,0.00743494,0.0148699,0.00743494,0,0,0,0,0,0,0,0
"MutOptLiability-4",0.0027,0,0.0027,0.506173,1,0.037037,0.037037,0.037037,0.166667,0.833333,0.0256525,0.131131,0.037037,,,,,0,0,0,0,,,,,0,,,,,0,0,0,,1087870,901204,1087870,901204,10925.9,59259.3,6203.7,0,0,0.037037,50000,0,0,0,0.407407,0,-4,0,1,0.962963,0.037037,0.037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MutOptLiability-5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Truly Liable MutOptLiability5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Truly Liable MutOptLiability4",0.0011,0,0.0011,0.5,1,1,0,1,,,,,0,,,,,0,0,0,0,,,,,0,,,,,0,0,1,0.545455,1004550,895455,1004550,895455,100000,27272.7,95454.5,0,0,0,,0,0,0,1,0,4,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.454545,0.545455
"Truly Liable MutOptLiability3",0.0142,0,0.0142,0.57277,1,1,0,0.964789,,,,,0,,,,,0,0,0.0422535,0.0140845,,,,,0,,,,,0,0,1,0.626761,1012680,887324,1012680,887324,100000,31338,87323.9,0,0,0,,0,0,0,1,0,3,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.373239,0.626761
"Truly Liable MutOptLiability2",0.0507,0,0.0507,0.617686,0.998028,0.998028,0.025641,0.972387,0.822222,0.211111,0.0811813,0.0217863,0,,,,,0,0,0.108481,0.522682,,,,,0,,,,,0,0,0.998028,0.695652,1019530,880671,1019530,880671,99802.8,34714,80473.4,0,0,0,,0,0,0,1,0,2,0.00197239,0.998028,0,0.998028,0,0.998028,0,0.998028,0,0.998028,0,0,0.998028,0,0.998028,0,0.998028,0,0.303748,0.69428
"Truly Liable MutOptLiability1",0.1035,0,0.1035,0.664251,1,0.97971,0.0763285,0.965217,0.299603,0.214286,0.0846956,0.0299173,0.0637681,,,,,0,0.209662,0.114976,0.498551,0.833333,0.5,0.0253525,0.117761,0.00483092,,,,,0.0125604,0.248309,0.44058,0.594298,1041790,891093,1041790,891093,67115.9,23000.8,58208.5,0,0,0.068599,21009.4,0.0125604,0.457971,0,1,0,1,0,1,0.0202899,0.97971,0.0637681,0.915942,0,0.915942,0.209662,0.70628,0.209662,0.00483092,0.701449,0.0125604,0.688889,0.248309,0.44058,0.26087,0.178744,0.261836
"Truly Liable MutOptLiability0",0.1625,0,0.1625,0.66,0.999385,0.695385,0.167385,0.683692,0.306233,0.264679,0.0653898,0.020368,0.147692,,,,,0,0.139692,0.104,0.367385,0.7,0.366667,0.0588153,0.0990266,0.064,,,,,0.0252308,0.205538,0.113231,0.608696,1056400,904437,1056400,904437,39160,11039.5,43597.4,0,0,0.211692,26865.3,0.0252308,0.345231,0,1,0,0,0.000615385,0.999385,0.304,0.695385,0.147692,0.547692,0,0.547692,0.139692,0.408,0.139692,0.064,0.344,0.0252308,0.318769,0.205538,0.113231,0.230769,0.0443077,0.0689231
"Truly Liable MutOptLiability-1",0.0972,0,0.0972,0.677984,0.992798,0.452675,0.202675,0.441358,0.282828,0.263889,0.0550309,0.025902,0.186214,,,,,0.00102881,0.0936214,0.0895062,0.159465,0.833333,0.5,0.269482,0.117761,0.0761317,,,,,0.00308642,0.0792181,0.013374,0.384615,1063880,911632,1063880,911632,24490.7,3901.75,36122.3,0,0,0.262346,26732,0.00411523,0.17284,0,1,0,-1,0.00720165,0.992798,0.540123,0.452675,0.186214,0.266461,0.00102881,0.265432,0.0936214,0.171811,0.0946502,0.0761317,0.095679,0.00308642,0.0925926,0.0792181,0.0133745,0.0823045,0.00823045,0.005144
