"OptionSet","Exploit","Filter","All","D2 0.17  ","D2 0.33  ","D2 0.5  ","D2 0.67  ","D2 0.83  "
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 2 Dam 2",0.0678,0.998227,0.00177305,0,0,0
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 2 Dam 3",0.0849,0.998584,0.00141643,0,0,0
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 2 Dam 4",0.0863,0.711699,0.288301,0,0,0
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 2 Dam 5",0.0805,0.00298507,0.997015,0,0,0
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 3 Dam 1",0.1085,0.93134,0.0675526,0.00110742,0,0
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 3 Dam 2",0.1126,0.905016,0.090715,0.00213447,0,0.00213447
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 3 Dam 3",0.1266,0,0.995252,0.00474834,0,0
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 3 Dam 4",0.0002,0,0,0,0,1
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 3 Dam 5",0.0338,0,0.00355872,0,0,0.996441
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 4 Dam 1",0.1014,0.00236967,0.00236967,0.995261,0,0
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 4 Dam 2",0.0006,0,0,0,0,1
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 4 Dam 3",0.0001,0,0,0,0,1
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 4 Dam 4",0.0002,0,0,0,0,1
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 4 Dam 5",0,,,,,
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 5 Dam 1",0,,,,,
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 5 Dam 2",0.0001,0,0,0,0,1
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 5 Dam 3",0,,,,,
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 5 Dam 4",0,,,,,
"soallroundslowcosts","0.00013094092100004515","DSignal Liab 5 Dam 5",0.0001,0,0,0,0,1
"liabhighcosts","0.0019149311919882243","All",1,0.0099108,0.0178394,0.0168484,0.0148662,0
"liabhighcosts","0.0019149311919882243","DLiabilitySignal 1",0.0496,0,0,0,0,0
"liabhighcosts","0.0019149311919882243","DLiabilitySignal 2",0.4668,0.0127389,0.00424628,0.00212314,0,0
"liabhighcosts","0.0019149311919882243","DLiabilitySignal 3",0.3241,0.0122324,0.0489297,0.0489297,0.0458716,0
"liabhighcosts","0.0019149311919882243","DLiabilitySignal 4",0,,,,,
"liabhighcosts","0.0019149311919882243","DLiabilitySignal 5",0,,,,,
"bothbasecosts","0.0011549036332394536","All",1,0.088984,0.666329,0.00132347,0.242818,0.000544959
"bothbasecosts","0.0011549036332394536","DSignal Liab 1 Dam 1",0.0007,1,0,0,0,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 1 Dam 2",0.0025,1,0,0,0,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 1 Dam 3",0.0037,1,0,0,0,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 1 Dam 4",0.0026,1,0,0,0,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 1 Dam 5",0.003,1,0,0,0,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 2 Dam 1",0.0115,1,0,0,0,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 2 Dam 2",0.022,1,0,0,0,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 2 Dam 3",0.023,0.0777027,0.922297,0,0,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 2 Dam 4",0.0251,0.151703,0.845201,0.00309598,0,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 2 Dam 5",0.0286,0.263587,0.736413,0,0,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 3 Dam 1",0.036,0.0151515,0.984848,0,0,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 3 Dam 2",0.0544,0.0386266,0.961373,0,0,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 3 Dam 3",0.0654,0.00238095,0.997619,0,0,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 3 Dam 4",0.0707,0.150881,0.846916,0.00110132,0.00110132,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 3 Dam 5",0.0719,0.227273,0.762987,0.00865801,0,0.00108225
"bothbasecosts","0.0011549036332394536","DSignal Liab 4 Dam 1",0.0533,0,0.99854,0,0.00145985,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 4 Dam 2",0.0643,0,1,0,0,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 4 Dam 3",0.0701,0,1,0,0,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 4 Dam 4",0.0735,0,0.00211864,0.00105932,0.996822,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 4 Dam 5",0.0726,0,0,0.00429185,0.991416,0.00429185
"bothbasecosts","0.0011549036332394536","DSignal Liab 5 Dam 1",0.0706,0,0.997795,0.00110254,0,0.00110254
"bothbasecosts","0.0011549036332394536","DSignal Liab 5 Dam 2",0.0768,0.00101317,0.997974,0.00101317,0,0
"bothbasecosts","0.0011549036332394536","DSignal Liab 5 Dam 3",0.0726,0,0,0,1,0
