"OptionSet","Exploit","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","Settles1","PAbandons1","DDefaults1","Settles2","PAbandons2","DDefaults2","P Loses","P Wins"
"liablowcosts","0.0004570264838987787","Liability Strength5",0.2006,0,0.2006,0.833333,0.999801,0.213161,0.00139581,0.193819,0.816384,0.531073,0.0145974,0.0711378,0,,,,,0,0.000398804,0.0107677,0.206979,,,,,0.000398804,,,,,0,0,0.212363,0.988732,1094620,897789,1094620,897789,7588.57,5403.12,5218.01,0,0,0.0003988,66666.7,0,0.000398804,0,0.970489,0,-0.00458624,0.999801,0.213161,0.000199402,0.78664,0,0,0.000398804,0.000398804,0,0,0.00239282,0.20997
"liablowcosts","0.0004570264838987787","PLiabilitySignal1",0.1894,0,0.18944,0.195805,0.0002111,0.000211149,0.000211149,0,,,,,0,,,,,0.000211149,0,0,0,,,,,0,,,,,0,0,0,,999999,999999,999999,999999,2.4634,0,5089.91,0,0,0,,0.000211149,0,0,0.0508868,0,-0.371833,0.00021115,0.000211149,0.999789,0,0,0.000211149,0,0,0,0,0,0
"liablowcosts","0.0004570264838987787","PLiabilitySignal2",0.1911,0,0.19112,0.344705,0.999791,0.996651,0.931143,0.108832,0.476736,0.309821,0.069087,0.0269178,0.0420678,,,,,0.000418585,0.000209293,0.929259,0.383005,0.5,0.331349,0.0394384,0.0162731,0.0506488,,,,,0.000209293,0.000209293,0.902888,0.192165,1010370,967207,1010370,967207,22427.1,20760.3,22093.4,0,0,0.0927166,41836,0.000627878,0.000418585,0,0.287359,0,-0.102135,0.999791,0.996651,0.000209293,0.00313939,0.0420678,0.000418585,0.000209293,0.0506488,0.000209293,0.000209293,0.729385,0.173504
"liablowcosts","0.0004570264838987787","PLiabilitySignal3",0.2284,0,0.2284,0.499591,1,0.961996,0.242907,0.323818,0.703473,0.389859,0.0623673,0.0430337,0.00175131,,,,,0.000175131,0.000175131,0.867951,0.685814,0.669613,0.454966,0.0189749,0.0250246,0.0460595,,,,,0.000350263,0.000350263,0.913135,0.483314,1039990,937770,1039990,937770,22237,30770.7,28036.2,0,0,0.0478109,66697.2,0.000525394,0.000525394,0,0.511384,0,-0.00805604,1,0.961996,0,0.0380035,0.00175131,0.000175131,0.000175131,0.0460595,0.000350263,0.000350263,0.471804,0.441331
"liablowcosts","0.0004570264838987787","PLiabilitySignal4",0.1966,0,0.19664,0.651444,1,0.725997,0.00549227,0.439382,0.833141,0.463776,0.00755483,0.0599779,0,,,,,0.000203417,0.000610252,0.197315,0.636493,0.833333,0.5,0.0258323,0.0328542,0.0012205,,,,,0,0,0.723963,0.720427,1070340,911820,1070340,911820,17835.6,27575.8,16668.9,0,0,0.0012205,83333.3,0.000203417,0.000610252,0,0.699349,0,0.103946,1,0.725997,0,0.274003,0,0.000203417,0.000610252,0.0012205,0,0,0.2024,0.521562
"liablowcosts","0.0004570264838987787","PLiabilitySignal5",0.1944,0,0.1944,0.800034,0.999794,0.338889,0.00205761,0.277984,0.833333,0.479167,0.0414923,0.0355561,0,,,,,0,0,0,0.319136,,,,,0,,,,,0.000205761,0,0.338683,0.935601,1091620,898269,1091620,898269,10109.1,9982.85,7183.47,0,0,0,,0.000205761,0,0,0.931687,0,0.394856,0.999794,0.338889,0.000205761,0.660905,0,0,0,0,0.000205761,0,0.0218107,0.316872
"liablowcosts","0.0004570264838987787","DLiabilitySignal1",0.1911,0,0.19108,0.196706,0.327193,0.326983,0.279883,0.000628009,0.5,0.166667,0.0434889,0.0653872,0,,,,,0,0.000209336,0.311911,0.000209336,,,,,0,,,,,0,0.000209336,0.326565,0.0814103,998908,993466,998908,993466,7626.47,5359.54,6451.75,0,0,0,,0,0.000418673,0,0.066569,0,0.371153,0.327193,0.326983,0.672807,0.000209336,0,0,0.000209336,0,0,0.000209336,0.299979,0.0265857
"liablowcosts","0.0004570264838987787","DLiabilitySignal2",0.19,0,0.19,0.347158,0.725053,0.725053,0.434947,0.00863158,0.565246,0.167332,0.0753542,0.00817534,0,,,,,0.000631579,0,0.632421,0.175789,0.5,0.166667,0.0572642,0.0305715,0.00105263,,,,,0.000210526,0,0.723158,0.293741,1012810,970289,1012810,970289,16902.1,18143.2,20779.5,0,0,0.00105263,16666.7,0.000842105,0,0,0.275368,0,0.126947,0.725053,0.725053,0.274947,0,0,0.000631579,0,0.00105263,0.000210526,0,0.510737,0.212421
"liablowcosts","0.0004570264838987787","DLiabilitySignal3",0.2284,0,0.2284,0.497986,0.966025,0.965849,0.330473,0.21366,0.641215,0.326948,0.0674014,0.0322638,0.000875657,,,,,0.000350263,0.000175131,0.697548,0.870753,0.551434,0.326409,0.0386562,0.0223669,0.0348511,,,,,0.000175131,0.000175131,0.929247,0.514323,1037880,939831,1037880,939831,22286,29951.1,27915.9,0,0,0.0357268,33047.4,0.000525394,0.000350263,0,0.499124,0,0.0113835,0.966025,0.965849,0.0339755,0.000175131,0.000875657,0.000350263,0.000175131,0.0348511,0.000175131,0.000175131,0.451313,0.477933
"liablowcosts","0.0004570264838987787","DLiabilitySignal4",0.1988,0,0.19884,0.65168,0.995373,0.995373,0.117481,0.927982,0.698703,0.534759,0.032473,0.0659821,0.0414404,,,,,0,0,0.380004,0.928988,0.664495,0.500543,0.0134642,0.020701,0.0617582,,,,,0.000402334,0.000201167,0.891571,0.809567,1067150,910519,1067150,910519,22326.2,28938.2,20677.3,0,0,0.103199,59291.7,0.000402334,0.000201167,0,0.715148,0,-0.0971635,0.995373,0.995373,0.00462684,0,0.0414404,0,0,0.0617582,0.000402334,0.000201167,0.169785,0.721786
