"OptionSet","Exploit","Filter","All","P1 0.17  ","P1 0.33  ","P1 0.5  ","P1 0.67  ","P1 0.83  "
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 3 Dam 2",0.0461,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 3 Dam 3",0.0436,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 3 Dam 4",0.0444,0,0,0,0.00180343,0.998197
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 3 Dam 5",0.0477,0,0,0,0.000839631,0.99916
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 4 Dam 1",0.0356,0.00112233,0,0,0,0.998878
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 4 Dam 2",0.0347,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 4 Dam 3",0.0399,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 4 Dam 4",0.0449,0,0,0.000891266,0.000891266,0.998217
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 4 Dam 5",0.041,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 5 Dam 1",0.0419,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 5 Dam 2",0.0386,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 5 Dam 3",0.0396,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 5 Dam 4",0.037,0,0,0,0,1
"shootoutlowcosts","0.00013092762717397636","PSignal Liab 5 Dam 5",0.0378,0,0.0010582,0,0,0.998942
"soallroundslowcosts","0.00013094092100004515","All",1,0.241599,0.000280045,0.000360058,0.000320051,0.757441
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 1 Dam 1",0.0377,1,0,0,0,0
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 1 Dam 2",0.0363,1,0,0,0,0
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 1 Dam 3",0.0356,0.998878,0,0.00112233,0,0
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 1 Dam 4",0.0408,1,0,0,0,0
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 1 Dam 5",0.0396,0.927346,0,0,0.00100908,0.0716448
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 2 Dam 1",0.0435,0.998162,0.00183824,0,0,0
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 2 Dam 2",0.0409,0.265885,0,0.00293255,0.00293255,0.72825
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 2 Dam 3",0.0403,0,0.000992063,0.000992063,0,0.998016
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 2 Dam 4",0.0377,0,0.00106045,0,0.00106045,0.997879
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 2 Dam 5",0.0368,0,0.00108814,0,0,0.998912
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 3 Dam 1",0.0449,0,0,0,0.000890472,0.99911
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 3 Dam 2",0.0489,0,0,0.000818331,0,0.999182
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 3 Dam 3",0.047,0,0,0,0,1
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 3 Dam 4",0.0449,0.000890472,0,0.00178094,0,0.997329
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 3 Dam 5",0.0448,0,0,0,0,1
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 4 Dam 1",0.0328,0,0,0,0,1
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 4 Dam 2",0.0355,0.0011274,0.0011274,0,0,0.997745
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 4 Dam 3",0.0399,0,0,0,0,1
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 4 Dam 4",0.0439,0.000910747,0.000910747,0,0,0.998179
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 4 Dam 5",0.0411,0,0,0,0.00097371,0.999026
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 5 Dam 1",0.0402,0,0,0,0.000996016,0.999004
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 5 Dam 2",0.0392,0,0,0,0,1
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 5 Dam 3",0.038,0,0,0,0,1
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 5 Dam 4",0.0365,0,0,0,0,1
"soallroundslowcosts","0.00013094092100004515","PSignal Liab 5 Dam 5",0.0332,0,0,0.00120482,0,0.998795
"liabhighcosts","0.0019149311919882243","All",1,0.116269,0.026767,0.0635717,0.0171476,0.173568
"liabhighcosts","0.0019149311919882243","PLiabilitySignal 1",0,,,,,
"liabhighcosts","0.0019149311919882243","PLiabilitySignal 2",0,,,,,
"liabhighcosts","0.0019149311919882243","PLiabilitySignal 3",0.046,0.518182,0.336364,0,0.0181818,0.127273
"liabhighcosts","0.0019149311919882243","PLiabilitySignal 4",0.0284,0,0,0.0294118,0.0147059,0.955882
"liabhighcosts","0.0019149311919882243","PLiabilitySignal 5",0.0071,0,0,0.0588235,0.0588235,0.882353
"bothbasecosts","0.0011549036332394536","All",1,0.432573,0.00040016,0.0104042,0.0311325,0.52549
"bothbasecosts","0.0011549036332394536","PSignal Liab 1 Dam 1",0.036,0.998888,0,0,0,0.00111235
"bothbasecosts","0.0011549036332394536","PSignal Liab 1 Dam 2",0.0387,0.99793,0,0.0010352,0,0.0010352
"bothbasecosts","0.0011549036332394536","PSignal Liab 1 Dam 3",0.0385,1,0,0,0,0
"bothbasecosts","0.0011549036332394536","PSignal Liab 1 Dam 4",0.0408,1,0,0,0,0
"bothbasecosts","0.0011549036332394536","PSignal Liab 1 Dam 5",0.037,0.998918,0,0.00108225,0,0
"bothbasecosts","0.0011549036332394536","PSignal Liab 2 Dam 1",0.0412,0.998056,0,0,0.00194363,0
"bothbasecosts","0.0011549036332394536","PSignal Liab 2 Dam 2",0.042,1,0,0,0,0
"bothbasecosts","0.0011549036332394536","PSignal Liab 2 Dam 3",0.0395,0.998986,0,0,0,0.0010142
"bothbasecosts","0.0011549036332394536","PSignal Liab 2 Dam 4",0.0367,0.997819,0,0,0.00109051,0.00109051
"bothbasecosts","0.0011549036332394536","PSignal Liab 2 Dam 5",0.0361,0.993355,0,0,0.00664452,0
"bothbasecosts","0.0011549036332394536","PSignal Liab 3 Dam 1",0.0468,0.999145,0.000854701,0,0,0
"bothbasecosts","0.0011549036332394536","PSignal Liab 3 Dam 2",0.0482,0.000830565,0.00166113,0,0.013289,0.984219
"bothbasecosts","0.0011549036332394536","PSignal Liab 3 Dam 3",0.0443,0,0,0,0.037037,0.962963
"bothbasecosts","0.0011549036332394536","PSignal Liab 3 Dam 4",0.0455,0.000878735,0.000878735,0,0.197715,0.800527
"bothbasecosts","0.0011549036332394536","PSignal Liab 3 Dam 5",0.0468,0,0,0.000855432,0.373824,0.625321
"bothbasecosts","0.0011549036332394536","PSignal Liab 4 Dam 1",0.0331,0,0.00120919,0,0.0362757,0.962515
"bothbasecosts","0.0011549036332394536","PSignal Liab 4 Dam 2",0.033,0,0.00121212,0.00121212,0.0157576,0.981818
"bothbasecosts","0.0011549036332394536","PSignal Liab 4 Dam 3",0.0381,0.00105152,0,0.00105152,0,0.997897
"bothbasecosts","0.0011549036332394536","PSignal Liab 4 Dam 4",0.0413,0,0,0,0.000968054,0.999032
"bothbasecosts","0.0011549036332394536","PSignal Liab 4 Dam 5",0.0429,0,0,0.231128,0.00465983,0.764212
"bothbasecosts","0.0011549036332394536","PSignal Liab 5 Dam 1",0.0395,0,0.00202429,0.00303644,0.00101215,0.993927
"bothbasecosts","0.0011549036332394536","PSignal Liab 5 Dam 2",0.041,0,0.000976563,0.00390625,0,0.995117
"bothbasecosts","0.0011549036332394536","PSignal Liab 5 Dam 3",0.0396,0,0,0,0,1
"bothbasecosts","0.0011549036332394536","PSignal Liab 5 Dam 4",0.0367,0,0,0,0,1
"bothbasecosts","0.0011549036332394536","PSignal Liab 5 Dam 5",0.0369,0,0.0010846,0,0,0.998915
"damhighcosts","0.010413403254322422","All",1,0.00768962,0.0613422,0.580566,0.221601,0.00332052
"damhighcosts","0.010413403254322422","PSignal Liab 1 Dam 1",0.4283,0.00163199,0.0432477,0.95104,0.00285598,0.00122399
"damhighcosts","0.010413403254322422","PSignal Liab 1 Dam 2",0.1655,0.0337909,0.209081,0.74868,0.00739176,0.00105597
"damhighcosts","0.010413403254322422","PSignal Liab 1 Dam 3",0.0126,0.0138889,0.5,0.347222,0.0972222,0.0416667
"damhighcosts","0.010413403254322422","PSignal Liab 1 Dam 4",0.0044,0,0,1,0,0
"damhighcosts","0.010413403254322422","PSignal Liab 1 Dam 5",0.0016,0,0,0,0,1
"shootoutbasecosts","0.0003574806892847582","All",1,0.310078,0.000800512,0.00488313,0.00456292,0.679675
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 1 Dam 1",0.0388,0.997936,0.00103199,0.00103199,0,0
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 1 Dam 2",0.0373,0.998927,0,0,0.00107296,0
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 1 Dam 3",0.0384,0.998958,0,0.00104167,0,0
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 1 Dam 4",0.0406,0.999015,0,0,0,0.000985222
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 1 Dam 5",0.0367,1,0,0,0,0
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 2 Dam 1",0.0422,0.994313,0,0.00473934,0,0.000947867
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 2 Dam 2",0.0409,0.978495,0,0.0205279,0.000977517,0
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 2 Dam 3",0.0389,0.930999,0.00102987,0.0288363,0.0061792,0.0329557
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 2 Dam 4",0.0385,0.00104058,0.00104058,0.00104058,0.00312175,0.993757
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 2 Dam 5",0.034,0,0,0,0,1
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 3 Dam 1",0.0447,0.000895255,0.0116383,0.0277529,0.0662489,0.893465
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 3 Dam 2",0.0463,0,0.000864304,0.0276577,0.00864304,0.962835
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 3 Dam 3",0.045,0,0.00088968,0,0.00177936,0.997331
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 3 Dam 4",0.0449,0,0,0,0,1
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 3 Dam 5",0.0474,0.000845309,0,0,0,0.999155
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 4 Dam 1",0.0361,0,0,0,0.018847,0.981153
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 4 Dam 2",0.0336,0,0,0,0,1
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 4 Dam 3",0.0378,0,0.0010582,0.0010582,0,0.997884
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 4 Dam 4",0.0429,0.000931966,0,0,0,0.999068
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 4 Dam 5",0.0419,0.00191022,0,0.00095511,0,0.997135
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 5 Dam 1",0.0401,0,0,0,0,1
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 5 Dam 2",0.0391,0,0,0,0,1
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 5 Dam 3",0.0394,0,0,0,0,1
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 5 Dam 4",0.0369,0,0,0,0,1
"shootoutbasecosts","0.0003574806892847582","PSignal Liab 5 Dam 5",0.0375,0,0.0010661,0,0,0.998934
"soallroundsbasecosts","0.00029162741032267534","All",1,0.306298,0.000400128,0.000200064,0.00116037,0.691941
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 1 Dam 1",0.0362,0.996681,0.00110619,0,0.00221239,0
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 1 Dam 2",0.0369,0.998914,0,0.00108578,0,0
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 1 Dam 3",0.0365,1,0,0,0,0
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 1 Dam 4",0.0398,1,0,0,0,0
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 1 Dam 5",0.0365,1,0,0,0,0
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 2 Dam 1",0.0391,1,0,0,0,0
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 2 Dam 2",0.0428,0.999065,0.000935454,0,0,0
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 2 Dam 3",0.0392,0.986735,0.00102041,0.00102041,0.00204082,0.00918367
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 2 Dam 4",0.0355,0,0.0011274,0,0.0011274,0.997745
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 2 Dam 5",0.0349,0,0,0,0,1
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 3 Dam 1",0.0451,0,0.000887311,0.000887311,0.0186335,0.979592
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 3 Dam 2",0.0503,0,0,0.000795545,0.000795545,0.998409
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 3 Dam 3",0.0423,0,0,0,0,1
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 3 Dam 4",0.0478,0,0,0,0,1
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 3 Dam 5",0.0479,0.00083612,0,0,0,0.999164
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 4 Dam 1",0.0333,0,0,0,0.00240096,0.997599
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 4 Dam 2",0.0351,0,0,0,0,1
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 4 Dam 3",0.0407,0,0,0,0,1
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 4 Dam 4",0.0441,0,0.000908265,0,0,0.999092
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 4 Dam 5",0.0437,0,0.00183318,0,0,0.998167
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 5 Dam 1",0.0405,0,0,0.000988142,0,0.999012
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 5 Dam 2",0.0399,0,0,0,0,1
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 5 Dam 3",0.0375,0.00106838,0.00106838,0,0,0.997863
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 5 Dam 4",0.0379,0.00105597,0,0,0,0.998944
"soallroundsbasecosts","0.00029162741032267534","PSignal Liab 5 Dam 5",0.0367,0,0.00108932,0,0,0.998911
"bothhighcosts","0.003821785712785888","All",1,0.283092,0.0673108,0.425604,0.0695652,0.154428
"bothhighcosts","0.003821785712785888","PSignal Liab 1 Dam 1",0,,,,,
"bothhighcosts","0.003821785712785888","PSignal Liab 1 Dam 2",0,,,,,
"bothhighcosts","0.003821785712785888","PSignal Liab 1 Dam 3",0,,,,,
"bothhighcosts","0.003821785712785888","PSignal Liab 1 Dam 4",0,,,,,
"bothhighcosts","0.003821785712785888","PSignal Liab 1 Dam 5",0,,,,,
"bothhighcosts","0.003821785712785888","PSignal Liab 2 Dam 1",0,,,,,
"bothhighcosts","0.003821785712785888","PSignal Liab 2 Dam 2",0,,,,,
"bothhighcosts","0.003821785712785888","PSignal Liab 2 Dam 3",0.0003,1,0,0,0,0
"bothhighcosts","0.003821785712785888","PSignal Liab 2 Dam 4",0.0021,1,0,0,0,0
"bothhighcosts","0.003821785712785888","PSignal Liab 2 Dam 5",0.0233,1,0,0,0,0
"bothhighcosts","0.003821785712785888","PSignal Liab 3 Dam 1",0.0011,0.285714,0,0.714286,0,0
"bothhighcosts","0.003821785712785888","PSignal Liab 3 Dam 2",0.0029,0.611111,0.0555556,0.333333,0,0
"bothhighcosts","0.003821785712785888","PSignal Liab 3 Dam 3",0.0425,0.875,0.0189394,0.0643939,0.0151515,0.0265152
"bothhighcosts","0.003821785712785888","PSignal Liab 3 Dam 4",0.1279,0.803526,0.0327456,0.0617128,0.0327456,0.0692695
"bothhighcosts","0.003821785712785888","PSignal Liab 3 Dam 5",0.1304,0.719753,0.0222222,0.0666667,0.0567901,0.134568
"bothhighcosts","0.003821785712785888","PSignal Liab 4 Dam 1",0.0106,0.5,0.19697,0.227273,0,0.0757576
"bothhighcosts","0.003821785712785888","PSignal Liab 4 Dam 2",0.124,0.114286,0.138961,0.723377,0.00909091,0.0142857
"bothhighcosts","0.003821785712785888","PSignal Liab 4 Dam 3",0.0947,0.0170068,0.0527211,0.753401,0.107143,0.0697279
"bothhighcosts","0.003821785712785888","PSignal Liab 4 Dam 4",0.0638,0.00505051,0.0277778,0.0429293,0.131313,0.792929
"bothhighcosts","0.003821785712785888","PSignal Liab 4 Dam 5",0.0589,0,0.0191257,0.0765027,0.13388,0.770492
"bothhighcosts","0.003821785712785888","PSignal Liab 5 Dam 1",0.1258,0,0.0921895,0.855314,0.0422535,0.0102433
"bothhighcosts","0.003821785712785888","PSignal Liab 5 Dam 2",0.1081,0,0.186289,0.730253,0.0685544,0.0149031
"bothhighcosts","0.003821785712785888","PSignal Liab 5 Dam 3",0.0536,0,0.00600601,0.726727,0.201201,0.0660661
"bothhighcosts","0.003821785712785888","PSignal Liab 5 Dam 4",0.0214,0,0,0.390977,0.233083,0.37594
"bothhighcosts","0.003821785712785888","PSignal Liab 5 Dam 5",0.0085,0,0,0,0.150943,0.849057
"shootouthighcosts","0.0012064325842105813","All",1,0.5864,0.0238,0.1156,0.0446,0.2296
"shootouthighcosts","0.0012064325842105813","PSignal Liab 1 Dam 1",0,,,,,
"shootouthighcosts","0.0012064325842105813","PSignal Liab 1 Dam 2",0,,,,,
"shootouthighcosts","0.0012064325842105813","PSignal Liab 1 Dam 3",0,,,,,
"shootouthighcosts","0.0012064325842105813","PSignal Liab 1 Dam 4",0.0002,1,0,0,0,0
"shootouthighcosts","0.0012064325842105813","PSignal Liab 1 Dam 5",0.0152,0.986842,0.0131579,0,0,0
"shootouthighcosts","0.0012064325842105813","PSignal Liab 2 Dam 1",0.0072,1,0,0,0,0
"shootouthighcosts","0.0012064325842105813","PSignal Liab 2 Dam 2",0.0494,0.995951,0,0.00404858,0,0
"shootouthighcosts","0.0012064325842105813","PSignal Liab 2 Dam 3",0.139,0.997122,0.00143885,0.00143885,0,0
"shootouthighcosts","0.0012064325842105813","PSignal Liab 2 Dam 4",0.1058,0.863894,0.00189036,0.10586,0.0094518,0.0189036
"shootouthighcosts","0.0012064325842105813","PSignal Liab 2 Dam 5",0.0792,0.868687,0.00252525,0.010101,0.0277778,0.0909091
"shootouthighcosts","0.0012064325842105813","PSignal Liab 3 Dam 1",0.1672,0.850478,0.0478469,0.041866,0.0454545,0.0143541
"shootouthighcosts","0.0012064325842105813","PSignal Liab 3 Dam 2",0.128,0.576562,0.0421875,0.09375,0.084375,0.203125
"shootouthighcosts","0.0012064325842105813","PSignal Liab 3 Dam 3",0.0704,0,0.0823864,0.170455,0.0596591,0.6875
"shootouthighcosts","0.0012064325842105813","PSignal Liab 3 Dam 4",0.0496,0,0,0.290323,0.0967742,0.612903
"shootouthighcosts","0.0012064325842105813","PSignal Liab 3 Dam 5",0.031,0,0,0.0193548,0.0516129,0.929032
"shootouthighcosts","0.0012064325842105813","PSignal Liab 4 Dam 1",0.0574,0,0.0662021,0.0696864,0.0592334,0.804878
"shootouthighcosts","0.0012064325842105813","PSignal Liab 4 Dam 2",0.0348,0,0,0.591954,0.132184,0.275862
"shootouthighcosts","0.0012064325842105813","PSignal Liab 4 Dam 3",0.0236,0,0,0.788136,0.0762712,0.135593
"shootouthighcosts","0.0012064325842105813","PSignal Liab 4 Dam 4",0.0188,0,0,0.56383,0.0425532,0.393617
"shootouthighcosts","0.0012064325842105813","PSignal Liab 4 Dam 5",0.0082,0,0,0.0243902,0.0487805,0.926829
"shootouthighcosts","0.0012064325842105813","PSignal Liab 5 Dam 1",0.0096,0,0,0.0625,0.104167,0.833333
"shootouthighcosts","0.0012064325842105813","PSignal Liab 5 Dam 2",0.0036,0,0,0.555556,0,0.444444
"shootouthighcosts","0.0012064325842105813","PSignal Liab 5 Dam 3",0.001,0,0,0.6,0.4,0
"shootouthighcosts","0.0012064325842105813","PSignal Liab 5 Dam 4",0.0006,0,0,0,0,1
"shootouthighcosts","0.0012064325842105813","PSignal Liab 5 Dam 5",0.0002,0,0,0,0,1
"soallroundshighcosts","0.0010150671057617044","All",1,0.582627,0.0179938,0.122854,0.0217166,0.254809
