"OptionSet","Exploit","Filter","All","Trial","PWinsAtTrial","DWinsAtTrial","TrialDamages","PWelfare","DWelfare","LiabStr 1","LiabStrPct 1","LiabStr 2","LiabStrPct 2","LiabStr 3","LiabStrPct 3","LiabStr 4","LiabStrPct 4","LiabStr 5","LiabStrPct 5","DamStr 1","DamStr 2","DamStr 3","DamStr 4","DamStr 5","PLiabilitySignal 1","PLiabilitySignal 2","PLiabilitySignal 3","PLiabilitySignal 4","PLiabilitySignal 5","DLiabilitySignal 1","DLiabilitySignal 2","DLiabilitySignal 3","DLiabilitySignal 4","DLiabilitySignal 5"
"bothlowcosts","0.00027113918896466433","DSignal Liab 1 Dam 2",0.039,1,0.0409836,0.959016,3304.3,986638,980029,0.771516,0.153611,0.220287,0.0528256,0.00819672,0.00114597,0,0,0,0,0.20082,0.584016,0.210041,0.00512295,0,0.628074,0.318648,0.0481557,0.00512295,0,1,0,0,0,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 1 Dam 3",0.0411,1,0.0330739,0.966926,3380.35,986714,979953,0.837549,0.175643,0.156615,0.0395577,0.00583658,0.000859476,0,0,0,0,0.00291829,0.210117,0.575875,0.202335,0.00875486,0.725681,0.235409,0.0350195,0.00291829,0.000972763,1,0,0,0,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 1 Dam 4",0.0366,1,0.0338428,0.966157,4257.64,987591,979076,0.803493,0.150143,0.184498,0.0415233,0.0120087,0.00157571,0,0,0,0,0,0.00545852,0.196507,0.606987,0.191048,0.70524,0.239083,0.0491266,0.00655022,0,1,0,0,0,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 1 Dam 5",0.0374,1,0.026738,0.973262,3475.94,986809,979857,0.82246,0.156875,0.170053,0.0390663,0.00748663,0.00100272,0,0,0,0,0,0,0.00641711,0.193583,0.8,0.715508,0.241711,0.0395722,0.00320856,0,1,0,0,0,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 2 Dam 1",0.0406,1,0.212598,0.787402,13951.8,997285,969382,0.237205,0.0491636,0.482283,0.120393,0.272638,0.0396791,0.00787402,0.00201816,0,0,0.795276,0.195866,0.00885827,0,0,0.254921,0.422244,0.260827,0.0570866,0.00492126,0,1,0,0,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 2 Dam 2",0.0376,1,0.225772,0.774228,16693.3,1000030,966640,0.178914,0.0342717,0.506922,0.116953,0.309904,0.0416846,0.00425985,0.00100908,0,0,0.232162,0.585729,0.174654,0.00745474,0,0.222577,0.434505,0.282215,0.0596379,0.00106496,0,1,0,0,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 2 Dam 3",0.0388,1,0.213402,0.786598,20876.3,1004210,962457,0.187629,0.0371277,0.508247,0.12113,0.301031,0.0418278,0.00309278,0.000756811,0,0,0.00618557,0.184536,0.601031,0.198969,0.00927835,0.287629,0.361856,0.281443,0.0670103,0.00206186,0,1,0,0,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 2 Dam 4",0.0386,1,0.225673,0.774327,26811.6,1010140,956522,0.182195,0.0359037,0.509317,0.120885,0.304348,0.0421143,0.00414079,0.00100908,0,0,0,0.00621118,0.204969,0.576605,0.212215,0.226708,0.402692,0.267081,0.101449,0.00207039,0,1,0,0,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 2 Dam 5",0.0387,1,0.216942,0.783058,28357.4,1011690,954976,0.25,0.0493676,0.456612,0.1086,0.283058,0.0392494,0.0103306,0.0025227,0,0,0,0,0.0072314,0.245868,0.746901,0.26343,0.373967,0.262397,0.0960744,0.00413223,0,1,0,0,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 3 Dam 1",0.0447,1,0.50805,0.49195,31663.7,1015000,951670,0.00447227,0.00101999,0.142218,0.0390663,0.686047,0.10987,0.160107,0.0451564,0.00715564,0.00157387,0.816637,0.177102,0.00626118,0,0,0.0277281,0.229875,0.480322,0.22093,0.0411449,0,0,1,0,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 3 Dam 2",0.0456,1,0.514035,0.485965,40109.6,1023440,943224,0.00526316,0.00122399,0.136842,0.0383292,0.728947,0.119037,0.12193,0.0350656,0.00701754,0.00157387,0.178947,0.62193,0.19386,0.00526316,0,0.0342105,0.245614,0.487719,0.194737,0.0377193,0,0,1,0,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 3 Dam 3",0.046,1,0.490435,0.509565,48521.7,1031860,934812,0.00521739,0.00122399,0.126957,0.0358722,0.717391,0.118178,0.146087,0.0423814,0.00434783,0.000983671,0.00869565,0.166957,0.587826,0.227826,0.00869565,0.0486957,0.233043,0.437391,0.233043,0.0478261,0,0,1,0,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 3 Dam 4",0.0452,1,0.496014,0.503986,58193.1,1041530,925140,0.00354296,0.000815993,0.145261,0.0402948,0.71302,0.115313,0.136404,0.0388496,0.00177148,0.000393468,0,0.00797166,0.194863,0.584588,0.212578,0.0363153,0.20372,0.464128,0.255979,0.0398583,0,0,1,0,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 3 Dam 5",0.0478,1,0.490377,0.509623,65983.3,1049320,917350,0.0083682,0.00203998,0.137238,0.0402948,0.702092,0.120183,0.14728,0.0443996,0.00502092,0.00118041,0,0,0.0117155,0.196653,0.791632,0.0426778,0.200837,0.45272,0.259414,0.0443515,0,0,1,0,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 4 Dam 1",0.0373,1,0.786481,0.213519,50670.6,1034000,932663,0,0,0.00214592,0.0004914,0.273605,0.0365277,0.494635,0.116297,0.229614,0.0421011,0.780043,0.214592,0.00536481,0,0,0.00429185,0.083691,0.277897,0.343348,0.290773,0,0,0,1,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 4 Dam 2",0.0368,1,0.789359,0.210641,61835,1045170,921498,0,0,0.00434311,0.000982801,0.28013,0.0369575,0.4962,0.115288,0.219327,0.0397403,0.198697,0.586319,0.206298,0.00868621,0,0.00108578,0.082519,0.271444,0.387622,0.257329,0,0,0,1,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 4 Dam 3",0.0392,1,0.762487,0.237513,75458.7,1058790,907875,0,0,0.00815494,0.0019656,0.303772,0.0426873,0.472987,0.117053,0.215087,0.0415109,0.00509684,0.189602,0.598369,0.203874,0.0030581,0.00611621,0.0754332,0.292559,0.375127,0.250765,0,0,0,1,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 4 Dam 4",0.0395,1,0.780142,0.219858,94098.3,1077430,889235,0,0,0.00506586,0.0012285,0.305978,0.0432603,0.48227,0.120081,0.206687,0.0401338,0,0.0070922,0.194529,0.572442,0.225937,0.00303951,0.0678825,0.29382,0.378926,0.256332,0,0,0,1,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 4 Dam 5",0.0386,1,0.753368,0.246632,102513,1085850,880820,0,0,0.00829016,0.0019656,0.291192,0.0402521,0.509845,0.124117,0.190674,0.0361991,0,0,0.00725389,0.21658,0.776166,0.00518135,0.0746114,0.278756,0.394819,0.246632,0,0,0,1,0
"bothlowcosts","0.00027113918896466433","DSignal Liab 5 Dam 1",0.0389,1,0.960905,0.0390947,60905.3,1044240,922428,0,0,0,0,0.00720165,0.00100272,0.133745,0.0327952,0.859053,0.164273,0.795267,0.201646,0.00308642,0,0,0,0.00308642,0.0349794,0.213992,0.747942,0,0,0,0,1
"bothlowcosts","0.00027113918896466433","DSignal Liab 5 Dam 2",0.0405,1,0.962451,0.0375494,75642.3,1058980,907691,0,0,0,0,0.0158103,0.00229194,0.15415,0.0393542,0.83004,0.165257,0.231225,0.573123,0.190711,0.00494071,0,0,0.00296443,0.0355731,0.257905,0.703557,0,0,0,0,1
"bothlowcosts","0.00027113918896466433","DSignal Liab 5 Dam 3",0.038,1,0.963119,0.0368809,96654.4,1079990,886679,0,0,0,0,0.0136986,0.0018622,0.161222,0.0385974,0.825079,0.154043,0.00421496,0.216017,0.580611,0.19705,0.00210748,0,0.00421496,0.0442571,0.258166,0.693361,0,0,0,0,1
"bothlowcosts","0.00027113918896466433","DSignal Liab 5 Dam 4",0.0384,1,0.948958,0.0510417,114089,1097420,869245,0,0,0,0,0.00833333,0.00114597,0.194792,0.0471746,0.796875,0.150502,0.00104167,0.00625,0.196875,0.602083,0.19375,0,0.00208333,0.0416667,0.304167,0.652083,0,0,0,0,1
"bothlowcosts","0.00027113918896466433","DSignal Liab 5 Dam 5",0.0387,1,0.966908,0.033092,131360,1114690,851973,0,0,0,0,0.00827301,0.00114597,0.14788,0.0360747,0.843847,0.160535,0,0,0.00620476,0.19545,0.798345,0,0.00103413,0.0506722,0.301965,0.646329,0,0,0,0,1
"bothlowcosts","0.00027113918896466433","LiabStr 1",0.1961,1,0.0116279,0.988372,1188.29,984522,982145,1,1,0,0,0,0,0,0,0,0,0.198898,0.197266,0.20053,0.198694,0.20461,0.788454,0.205018,0.00632395,0.000203998,0,0.787842,0.205834,0.00632395,0,0
"bothlowcosts","0.00027113918896466433","LiabStr 1 DamStr 1",0.039,1,0.0153846,0.984615,871.795,984205,982462,1,0.198898,0,0,0,0,0,0,0,0,1,0,0,0,0,0.771282,0.217436,0.0102564,0.00102564,0,0.757949,0.236923,0.00512821,0,0
"bothlowcosts","0.00027113918896466433","LiabStr 1 DamStr 2",0.0387,1,0.0103413,0.989659,930.714,984264,982403,1,0.197266,0,0,0,0,0,0,0,0,0,1,0,0,0,0.703206,0.292658,0.0041365,0,0,0.80455,0.189245,0.00620476,0,0
"bothlowcosts","0.00027113918896466433","LiabStr 1 DamStr 3",0.0393,1,0.00610376,0.993896,584.944,983918,982748,1,0.20053,0,0,0,0,0,0,0,0,0,0,1,0,0,0.839268,0.154629,0.00610376,0,0,0.808749,0.185148,0.00610376,0,0
"bothlowcosts","0.00027113918896466433","LiabStr 1 DamStr 4",0.039,1,0.00924025,0.99076,1180.7,984514,982153,1,0.198694,0,0,0,0,0,0,0,0,0,0,0,1,0,0.815195,0.177618,0.00718686,0,0,0.794661,0.199179,0.00616016,0,0
"bothlowcosts","0.00027113918896466433","LiabStr 1 DamStr 5",0.0401,1,0.0169492,0.983051,2342.97,985676,980990,1,0.20461,0,0,0,0,0,0,0,0,0,0,0,0,1,0.811565,0.184447,0.00398804,0,0,0.773679,0.218345,0.00797607,0,0
"bothlowcosts","0.00027113918896466433","LiabStr 2",0.1628,1,0.126536,0.873464,12500,995833,970833,0,0,1,1,0,0,0,0,0,0,0.209091,0.200737,0.202457,0.197789,0.189926,0.204914,0.592383,0.192875,0.00982801,0,0.211548,0.587961,0.193857,0.00663391,0
"bothlowcosts","0.00027113918896466433","LiabStr 2 DamStr 1",0.034,1,0.117509,0.882491,7109.28,990443,976224,0,0,1,0.209091,0,0,0,0,0,0,1,0,0,0,0,0.171563,0.60282,0.212691,0.012926,0,0.206816,0.59342,0.197415,0.00235018,0
"bothlowcosts","0.00027113918896466433","LiabStr 2 DamStr 2",0.0327,1,0.139535,0.860465,10587.5,993921,972746,0,0,1,0.200737,0,0,0,0,0,0,0,1,0,0,0,0.209302,0.583843,0.201958,0.00489596,0,0.226438,0.575275,0.190942,0.00734394,0
"bothlowcosts","0.00027113918896466433","LiabStr 2 DamStr 3",0.033,1,0.131068,0.868932,13470.9,996804,969862,0,0,1,0.202457,0,0,0,0,0,0,0,0,1,0,0,0.257282,0.56432,0.169903,0.00849515,0,0.222087,0.603155,0.171117,0.00364078,0
"bothlowcosts","0.00027113918896466433","LiabStr 2 DamStr 4",0.0322,1,0.114286,0.885714,13602.5,996936,969731,0,0,1,0.197789,0,0,0,0,0,0,0,0,0,1,0,0.187578,0.632298,0.163975,0.0161491,0,0.209938,0.573913,0.204969,0.0111801,0
"bothlowcosts","0.00027113918896466433","LiabStr 2 DamStr 5",0.0309,1,0.13066,0.86934,18273,1001610,965060,0,0,1,0.189926,0,0,0,0,0,0,0,0,0,0,1,0.199224,0.578266,0.216041,0.00646831,0,0.191462,0.59379,0.205692,0.00905563,0
"bothlowcosts","0.00027113918896466433","LiabStr 3",0.2792,1,0.495774,0.504226,48295.4,1031630,935038,0,0,0,0,1,1,0,0,0,0,0.188225,0.199255,0.200831,0.209855,0.201834,0.00558659,0.201261,0.588454,0.198252,0.00644607,0.00572984,0.204555,0.582581,0.199685,0.00744879
"bothlowcosts","0.00027113918896466433","LiabStr 3 DamStr 1",0.0526,1,0.500761,0.499239,28995.4,1012330,954338,0,0,0,0,1,0.188225,0,0,0,0,1,0,0,0,0,0.00532725,0.218417,0.606545,0.159817,0.00989346,0.00532725,0.219178,0.578387,0.188737,0.00837139
"bothlowcosts","0.00027113918896466433","LiabStr 3 DamStr 2",0.0556,1,0.509705,0.490295,39036.7,1022370,944297,0,0,0,0,1,0.199255,0,0,0,0,0,1,0,0,0,0.00215672,0.249461,0.606758,0.137311,0.00431344,0.00431344,0.199137,0.589504,0.199856,0.00718907
"bothlowcosts","0.00027113918896466433","LiabStr 3 DamStr 3",0.0561,1,0.501427,0.498573,48199,1031530,935134,0,0,0,0,1,0.200831,0,0,0,0,0,0,1,0,0,0.00499287,0.221113,0.580599,0.188302,0.00499287,0.0085592,0.199001,0.57632,0.205421,0.010699
"bothlowcosts","0.00027113918896466433","LiabStr 3 DamStr 4",0.0586,1,0.480546,0.519454,56484.6,1039820,926849,0,0,0,0,1,0.209855,0,0,0,0,0,0,0,1,0,0.00819113,0.14744,0.569966,0.27099,0.00341297,0.00477816,0.225256,0.566553,0.19727,0.00614334
"bothlowcosts","0.00027113918896466433","LiabStr 3 DamStr 5",0.0564,1,0.48758,0.51242,67015.6,1050350,916318,0,0,0,0,1,0.201834,0,0,0,0,0,0,0,0,1,0.00709723,0.173882,0.580554,0.228531,0.00993612,0.00567779,0.18027,0.602555,0.206529,0.00496806
"bothlowcosts","0.00027113918896466433","LiabStr 4",0.1586,1,0.862008,0.137992,86995.5,1070330,896338,0,0,0,0,0,0,1,1,0,0,0.19551,0.181887,0.211403,0.20333,0.207871,0,0.00529768,0.199294,0.596367,0.199041,0,0.00731584,0.205853,0.592836,0.193996
"bothlowcosts","0.00027113918896466433","LiabStr 4 DamStr 1",0.031,1,0.863226,0.136774,52741.9,1036080,930591,0,0,0,0,0,0,1,0.19551,0,0,1,0,0,0,0,0,0.00387097,0.206452,0.596129,0.193548,0,0.0103226,0.24129,0.579355,0.169032
"bothlowcosts","0.00027113918896466433","LiabStr 4 DamStr 2",0.0288,1,0.862691,0.137309,66400.8,1049730,916933,0,0,0,0,0,0,1,0.181887,0,0,0,1,0,0,0,0,0.00277393,0.228849,0.589459,0.178918,0,0.00554785,0.162275,0.628294,0.203883
"bothlowcosts","0.00027113918896466433","LiabStr 4 DamStr 3",0.0335,1,0.869928,0.130072,86455.8,1069790,896877,0,0,0,0,0,0,1,0.211403,0,0,0,0,1,0,0,0,0.00357995,0.143198,0.619332,0.23389,0,0.00357995,0.212411,0.588305,0.195704
"bothlowcosts","0.00027113918896466433","LiabStr 4 DamStr 4",0.0322,1,0.866005,0.133995,106545,1089880,876789,0,0,0,0,0,0,1,0.20333,0,0,0,0,0,1,0,0,0.00868486,0.192308,0.612903,0.186104,0,0.0111663,0.19603,0.580645,0.212159
"bothlowcosts","0.00027113918896466433","LiabStr 4 DamStr 5",0.033,1,0.848301,0.151699,118659,1101990,864674,0,0,0,0,0,0,1,0.207871,0,0,0,0,0,0,1,0,0.00728155,0.230583,0.563107,0.199029,0,0.00606796,0.213592,0.591019,0.18932
"bothlowcosts","0.00027113918896466433","LiabStr 5",0.2033,1,0.986229,0.0137714,97580.2,1080910,885753,0,0,0,0,0,0,0,0,1,1,0.21503,0.20362,0.189849,0.196537,0.194964,0,0.000196734,0.00590203,0.203817,0.790085,0,0,0.00570529,0.199685,0.794609
"bothlowcosts","0.00027113918896466433","LiabStr 5 DamStr 1",0.0437,1,0.987191,0.0128088,59309.2,1042640,924024,0,0,0,0,0,0,0,0,1,0.21503,1,0,0,0,0,0,0,0.00182983,0.150046,0.848124,0,0,0.00640439,0.197621,0.795974
"bothlowcosts","0.00027113918896466433","LiabStr 5 DamStr 2",0.0414,1,0.988406,0.0115942,77463.8,1060800,905870,0,0,0,0,0,0,0,0,1,0.20362,0,1,0,0,0,0,0,0.00772947,0.189372,0.802899,0,0,0.00869565,0.189372,0.801932
"bothlowcosts","0.00027113918896466433","LiabStr 5 DamStr 3",0.0386,1,0.986528,0.0134715,99404.1,1082740,883929,0,0,0,0,0,0,0,0,1,0.189849,0,0,1,0,0,0,0,0.00725389,0.195855,0.796891,0,0,0.00518135,0.204145,0.790674
"bothlowcosts","0.00027113918896466433","LiabStr 5 DamStr 4",0.04,1,0.97998,0.02002,118193,1101530,865140,0,0,0,0,0,0,0,0,1,0.196537,0,0,0,1,0,0,0.001001,0.003003,0.252252,0.743744,0,0,0.004004,0.216216,0.77978
